Inst_Name,Course_name,Alloted_Cat,Quota,Institute Type,First Rank,Last Rank,City
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY,SC,GUJCET_Rank,Self-Finance,15849,29598,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY,SEBC,GUJCET_Rank,Self-Finance,16473,26377,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY,ESM,GUJCET_Rank,Self-Finance,22204,22204,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY,ST,GUJCET_Rank,Self-Finance,34577,34577,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY - TFWS,TFWS,GUJCET_Rank,Self-Finance,3392,6922,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",MECHANICAL ENGINEERING,GEN,GUJCET_Rank,Self-Finance,6070,24393,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",MECHANICAL ENGINEERING,SEBC,GUJCET_Rank,Self-Finance,26615,38943,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",MECHANICAL ENGINEERING,EWS,GUJCET_Rank,Self-Finance,31087,31289,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",AUTOMOBILE ENGINEERING,GEN,GUJCET_Rank,Self-Finance,20245,36589,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER SCIENCE & ENGINEERING (DATA
SCIENCE)",GEN,GUJCET_Rank,Self-Finance,3643,7983,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER SCIENCE & ENGINEERING (DATA
SCIENCE)",EWS,GUJCET_Rank,Self-Finance,8807,9462,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (DATA SCIENCE),SC,GUJCET_Rank,Self-Finance,10833,10833,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER SCIENCE & ENGINEERING (DATA
SCIENCE)",SEBC,GUJCET_Rank,Self-Finance,12555,19226,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER SCIENCE & ENGINEERING (CYBER
SECURITY)",GEN,GUJCET_Rank,Self-Finance,4696,10927,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER SCIENCE & ENGINEERING (CYBER
SECURITY)",EWS,GUJCET_Rank,Self-Finance,12507,12687,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (CYBER SECURITY),SEBC,GUJCET_Rank,Self-Finance,13388,18740,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER SCIENCE & ENGINEERING (CYBER
SECURITY)",SC,GUJCET_Rank,Self-Finance,24966,35792,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ELECTRONICS & COMMUNICATION ENGINEERING,GEN,GUJCET_Rank,Self-Finance,2647,13693,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ELECTRONICS & COMMUNICATION ENGINEERING,SEBC,GUJCET_Rank,Self-Finance,16090,34552,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ELECTRONICS & COMMUNICATION ENGINEERING,EWS,GUJCET_Rank,Self-Finance,18614,18756,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND MACHINE
LEARNING",GEN,GUJCET_Rank,Self-Finance,4669,8717,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND MACHINE
LEARNING",EWS,GUJCET_Rank,Self-Finance,8783,9481,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND MACHINE
LEARNING",SEBC,GUJCET_Rank,Self-Finance,15309,18867,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ARTIFICIAL INTELLIGENCE(AI) AND MACHINE LEARNING,SC,GUJCET_Rank,Self-Finance,21236,21236,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND MACHINE
LEARNING - TFW",TFWS,GUJCET_Rank,Self-Finance,699,1674,AHMEDABAD
APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,COMPUTER ENGINEERING,GEN,GUJCET_Rank,Self-Finance,3554,30661,AHMEDABAD
APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,COMPUTER ENGINEERING,SC,GUJCET_Rank,Self-Finance,30989,30989,AHMEDABAD
APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,COMPUTER ENGINEERING,EWS,GUJCET_Rank,Self-Finance,31222,37805,AHMEDABAD
APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,COMPUTER ENGINEERING,SEBC,GUJCET_Rank,Self-Finance,32385,38082,AHMEDABAD
APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,INFORMATION TECHNOLOGY,GEN,GUJCET_Rank,Self-Finance,13341,38861,AHMEDABAD
APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,MECHANICAL ENGINEERING,GEN,GUJCET_Rank,Self-Finance,22519,37944,AHMEDABAD
